1,1,1,0.988,0.997,0.797
0.933,0.94,0.961,0.872,0.89,0.902
0.952,0.854,0.878,0.774,0.866,0.662
0.982,0.999,1,0.993,0.978,0.915
0.918,0.786,0.923,0.873,0.899,0.896
0.871,0.934,0.95,0.706,0.855,0.895
0.942,0.919,0.952,0.868,0.914,0.844
0.046,0.084,0.047,0.114,0.059,0.099
0.789,0.774,0.838,0.745,0.782,0.646
0.948,0.941,0.968,0.801,0.829,0.656
0.894,0.91,0.936,0.878,0.903,0.564
0.926,0.983,0.992,0.918,0.955,0.85
0.951,0.933,0.934,0.927,0.89,0.891
0.926,0.941,0.958,0.955,0.961,0.743
0.989,0.633,0.798,0.956,0.928,0.671
0.946,0.863,0.942,0.948,0.963,0.732
0.864,0.702,0.638,0.676,0.727,0.38
0.905,0.982,0.966,0.847,0.847,0.757
0.959,0.943,0.807,0.963,0.928,0.786
0.918,0.873,0.889,0.874,0.883,0.698
0.055,0.118,0.107,0.097,0.078,0.141
0.927,0.889,0.911,0.872,0.894,0.749
0.052,0.107,0.094,0.1,0.072,0.144
